time,header_stamp_secs,header_stamp_nsecs,header_frame_id,status_status,status_service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
2026/02/13 16:08:21.243593260,147,600000000,gnss_link,1,1,55.86727844530207,37.690989927996675,150.20709221158177,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:21.469960126,147,700000000,gnss_link,1,1,55.86727834966248,37.69098834079304,150.20705138519406,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:21.705304436,147,800000000,gnss_link,1,1,55.86727825553461,37.690986753035006,150.20674322266132,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:21.937524563,147,900000000,gnss_link,1,1,55.86727816034986,37.69098516566108,150.2071015574038,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:22.178526924,148,0,gnss_link,1,1,55.86727806538613,37.690983578332144,150.2070375783369,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:22.416645820,148,100000000,gnss_link,1,1,55.86727797081109,37.69098199067537,150.20680779963732,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:22.667283166,148,200000000,gnss_link,1,1,55.8672778752681,37.6909804034344,150.2070748405531,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:22.914651966,148,300000000,gnss_link,1,1,55.86727777992812,37.69097881615155,150.20704790297896,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:23.177402506,148,400000000,gnss_link,1,1,55.86727768606749,37.69097722829632,150.20694935135543,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:23.447663857,148,500000000,gnss_link,1,1,55.867277590035016,37.69097564098973,150.2070763921365,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:23.714733831,148,600000000,gnss_link,1,1,55.867277494964824,37.69097405361786,150.20708435494453,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:23.993161178,148,700000000,gnss_link,1,1,55.86727740035577,37.690972465973026,150.20706409867853,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:24.278375854,148,800000000,gnss_link,1,1,55.867277305176444,37.690970878620305,150.20702361874282,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:24.575095815,148,900000000,gnss_link,1,1,55.86727721006757,37.69096929126468,150.20709188934416,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:24.859944398,149,0,gnss_link,1,1,55.86727711479474,37.690967703825656,150.20705614984035,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:25.166772131,149,100000000,gnss_link,1,1,55.86727702032634,37.69096611626647,150.206985254772,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:25.541500043,149,200000000,gnss_link,1,1,55.86727692508983,37.69096452865999,150.20712988544255,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:25.853986612,149,300000000,gnss_link,1,1,55.867276829460636,37.69096294146545,150.20690727047622,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:26.144975190,149,400000000,gnss_link,1,1,55.867276735241944,37.6909613538643,150.2069587558508,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:26.427636552,149,500000000,gnss_link,1,1,55.86727664024486,37.69095976657888,150.207116054371,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:26.724300401,149,600000000,gnss_link,1,1,55.86727654526529,37.69095817916333,150.2068873718381,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:27.14574436,149,700000000,gnss_link,1,1,55.867276450484226,37.690956591577006,150.20699677523226,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:27.299655807,149,800000000,gnss_link,1,1,55.867276355158616,37.69095500428246,150.20713195484132,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:27.591738086,149,900000000,gnss_link,1,1,55.867276259799795,37.690953416944964,150.20694690290838,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:27.876503072,150,0,gnss_link,1,1,55.86727616553661,37.690951829385114,150.2070560734719,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:28.156878074,150,100000000,gnss_link,1,1,55.86727607013259,37.690950242043115,150.20712041389197,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:28.450555530,150,200000000,gnss_link,1,1,55.86727599635068,37.69094876268813,150.20689745247364,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:28.737397988,150,300000000,gnss_link,1,1,55.86727599650257,37.690948431668744,150.2069389456883,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:29.36359312,150,400000000,gnss_link,1,1,55.86727599659982,37.69094843173043,150.20696398243308,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:29.337049712,150,500000000,gnss_link,1,1,55.86727599666203,37.69094843176988,150.20697999559343,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:29.636961561,150,600000000,gnss_link,1,1,55.867275996697835,37.690948431792584,150.20698921289295,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:29.929475871,150,700000000,gnss_link,1,1,55.86727599671671,37.69094843180456,150.20699407253414,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
2026/02/13 16:08:30.210625169,150,800000000,gnss_link,1,1,55.86727599673156,37.690948431813965,150.206997894682,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.36,2
